id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
fed_emergency_relief_0000,139 Club Inc,Emergency relief provider operated by 139 Club Limited,financial,"Lot 5, 505 Brunswick Street FORTITUDE VALLEY QLD 4006",Fortitude Valley,QLD,4006,-27.4614198,153.0381955,,,http://www.139club.com.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0001,AFSS Coober Pedy,Emergency relief provider operated by Aboriginal Family Support Services Inc,financial,Lot 223 Aylett Street COOBER PEDY SA 5723,Coober Pedy,SA,5723,-29.0092512,134.7570196,,,http://www.afss.com.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0002,Acacia Ridge Community Centre,Emergency relief provider operated by Acacia Ridge Community Support Incorporated,financial,21 Hanify St ACACIA RIDGE QLD 4110,Acacia Ridge,QLD,4110,-27.5794776,153.0197921,,,http://www.arcsi.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0003,ADRA Emergency Relief Ferntree Gully,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,3 Railway Avenue UPPER FERNTREE GULLY VIC 3156,Upper Ferntree Gully,VIC,3156,-37.8916598,145.307473,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0004,ADRA Emergency Relief Eight Mile Plains,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,"Lot 1, 15 London Street EIGHT MILE PLAINS QLD 4113",Eight Mile Plains,QLD,4113,-27.5737169,153.0918177,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0005,ADRA Community Centre Logan Central,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,"Lot 41, 31 Station Road LOGAN CENTRAL QLD 4114",Logan Central,QLD,4114,-27.6380271,153.1049903,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0006,ADRA Emergency Relief Adelaide City,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,82 Angas St Adelaide SA 5000,Adelaide,SA,5000,-34.9295035,138.6038768,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0007,ADRA Emergency Relief Melrose Park,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,123 Edward st Melrose Park SA 5039,Melrose Park,SA,5039,-34.9781648,138.5794351,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0008,ADRA Community Centre Parafield,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,1A-2D Lawrence Hargrave Way PARAFIELD SA 5106,Parafield,SA,5106,-34.7920149,138.6433678,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0009,ADRA Emergency Relief Morphett Vale,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,130 Pimpala Rd Morphett Vale SA 5162,Morphett Vale,SA,5162,-35.1048463,138.5428462,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0010,ADRA Emergency Relief Mount Barker,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,8 Shoebridge Lane MOUNT BARKER SA 5251,Mount Barker,SA,5251,-35.0671546,138.8595676,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0011,ADRA Emergency Relief Naracoorte,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,205 Hynam Caves Road MOUNT LIGHT SA 5271,Mount Light,SA,5271,-37.0015174,140.8265458,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0012,ADRA Emergency Relief Millicent,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,15 Williams Rd Millicent SA 5280,Millicent,SA,5280,-37.603471,140.3580167,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0013,ADRA Emergency Relief Mt Gambier,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,63 Suttontown Road MOUNT GAMBIER SA 5290,Mount Gambier,SA,5290,-37.8108476,140.7678017,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0014,ADRA Emergency Relief Mandurah,Emergency relief provider operated by ADRA Adventist Development and Relief Agency,financial,116 Anstruther Rd MANDURAH WA 6210,Mandurah,WA,6210,-32.5210827,115.7315999,,,http://www.adra.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0015,Withheld,Emergency relief provider operated by Agencies for South West Accommodation Inc,financial,Withheld,Withheld,,Withheld,-33.214011,115.925207,,,http://www.accordwest.com.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0016,Withheld,Emergency relief provider operated by Agencies for South West Accommodation Inc,financial,Withheld,Withheld,,Withheld,-33.214011,115.925207,,,http://www.accordwest.com.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0017,Withheld,Emergency relief provider operated by Agencies for South West Accommodation Inc,financial,Withheld,Withheld,,Withheld,-33.214011,115.925207,,,http://www.accordwest.com.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0018,Withheld,Emergency relief provider operated by Agencies for South West Accommodation Inc,financial,Withheld,Withheld,,Withheld,-33.953279,115.370794,,,http://www.accordwest.com.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0019,Withheld,Emergency relief provider operated by Alice Springs Women's Shelter,financial,Withheld,Withheld,,Withheld,-21.972362,133.499769,,,http://asws.org.au/,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0020,ASYASS Inc,Emergency relief provider operated by Alice Springs Youth Accommodation & Support Services,financial,12 Undoolya Road PO Box 9094 Alice Springs NT 0870,Alice Springs,NT,0870,-23.6974741,133.8888369,,,http://www.asyass.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0021,ASCC Nowra,Emergency relief provider operated by All Saints Community Care Incorporated,financial,74 Osborne St NOWRA NSW 2541,Nowra,NSW,2541,-34.8767362,150.5980625,,,http://allsaintsnowra.org.au/ministries/community-care,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
fed_emergency_relief_0022,Rockhampton Emergency Relief,Emergency relief provider operated by Anglicare Central Queensland,financial,Shop 2 212 Quay St ROCKHAMPTON CITY QLD 4700,Rockhampton City,QLD,4700,-23.3785618,150.5148083,,,http://www.anglicarecq.org.au,,,Free,fed_emergency_relief,Emergency Relief Provider Outlets,Department of Social Services,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/d667403f-2016-463f-bb0a-3087ae67c57f,2026-04-19,complete
