id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
fed_employment_services_0000,Vision Australia,Employment services provider in CANBERRA,employment,2nd Floor 22 East Row,Canberra,ACT,2601,-35.2791945,149.1306937,,kal.perera@visionaustralia.org,https://www.visionaustralia.org.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0001,Job Centre Australia,Employment services provider in YOUNG,employment,2B Campbell Street,Young,NSW,2594,-34.31470378,148.2943602,1800 466 046,jcayoung@jobcentreaustralia.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0002,Job Centre Australia,Employment services provider in WAGGA WAGGA,employment,55 Peter Street,Wagga Wagga,NSW,2650,-35.11538899,147.3684042,1800 466 046,jcawagga@jobcentreaustralia.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0003,Job Centre Australia,Employment services provider in WAGGA WAGGA,employment,55 Peter Street,Wagga Wagga,NSW,2650,-35.11538899,147.3684042,1800 466 046,jcawagga@jobcentreaustralia.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0004,Job Centre Australia,Employment services provider in TUMUT,employment,Shop 6 & 7 The HUB Wynyard Street,Tumut,NSW,2720,-35.32075023,148.2325049,1800 466 046,jcatumut@jcal.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0005,Job Centre Australia,Employment services provider in TUMUT,employment,Shop 6 & 7 The HUB Wynyard Street,Tumut,NSW,2720,-35.32075023,148.2325049,1800 466 046,jcatumut@jcal.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0006,Job Centre Australia,Employment services provider in COOTAMUNDRA,employment,169a Parker Street,Cootamundra,NSW,2590,-34.63608234,148.0260863,1800 466 046,jcacoota@jobcentreaustralia.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0007,Job Centre Australia,Employment services provider in COOTAMUNDRA,employment,169a Parker Street,Cootamundra,NSW,2590,-34.63608234,148.0260863,1800 466 046,jcacoota@jobcentreaustralia.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0008,Job Centre Australia,Employment services provider in CHATSWOOD,employment,Level 1 13 Spring Street,Chatswood,NSW,2067,-33.79640109,151.1849635,1800 466 046,jcachatswood@jobcentreaustralia.com.au,https://www.jobcentreaustralia.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
fed_employment_services_0009,ORS Employment Solutions,Employment services provider in Woy Woy,employment,26-30 Railway Street,Woy Woy,NSW,2256,-33.48585245,151.3241008,,enquiries@orsgroup.com.au,https://www.orsgroup.com.au,,,Free,fed_employment_services,Employment Services Provider Locations and Contacts,Department of Employment and Workplace Relations,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/638f89d7-1c12-4db9-8342-abfcd7b49e95,2026-04-19,complete
