id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
fed_judicial_courts_0000,Peter Durack Commonwealth Law Courts Building,Court,legal,,,WA,,-31.958389,115.864566,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0001,Peter Durack Commonwealth Law Courts Building,Court,legal,,,WA,,-31.958389,115.864566,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0002,Peter Durack Commonwealth Law Courts Building,Court,legal,,,WA,,-31.958389,115.864566,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0003,Owen Dixon Commonwealth Law Courts Building,Court,legal,,,VIC,,-37.812172,144.956151,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0004,Owen Dixon Commonwealth Law Courts Building,Court,legal,,,VIC,,-37.812172,144.956151,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0005,Owen Dixon Commonwealth Law Courts Building,Court,legal,,,VIC,,-37.812172,144.956151,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0007,Harry Gibbs Commonwealth Law Courts Building,Court,legal,,,QLD,,-27.46904,153.01996,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0008,Harry Gibbs Commonwealth Law Courts Building,Court,legal,,,QLD,,-27.46904,153.01996,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0009,Harry Gibbs Commonwealth Law Courts Building,Court,legal,,,QLD,,-27.46904,153.01996,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0010,Roma Mitchell Commonwealth Law Courts Building,Court,legal,,,SA,,-34.9302519999999,138.600978,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0011,Roma Mitchell Commonwealth Law Courts Building,Court,legal,,,SA,,-34.9302519999999,138.600978,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0012,Roma Mitchell Commonwealth Law Courts Building,Court,legal,,,SA,,-34.9302519999999,138.600978,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0014,Commonwealth Government Centre,Court,legal,,,QLD,,-16.9222399999999,145.774562,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0016,Supreme Court Building,Court,legal,,,NT,,-12.4667069999999,130.844015,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0017,Supreme Court Building,Court,legal,,,NT,,-12.4667069999999,130.844015,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0018,ANZ Building,Court,legal,,,TAS,,-41.436584,147.14045,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
fed_judicial_courts_0019,Commonwealth Law Courts Building,Court,legal,,,NSW,,-33.869075,151.211546,,,,,,Free,fed_judicial_courts,Judicial Courts,Geoscience Australia,federal,CC-BY-3.0-AU,https://data.gov.au/data/dataset/judicial-courts,2026-04-19,partial,address
