id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
qld_breastscreen_0000,Brisbane Northside Service,Main Service Location,health,", 534 Hamilton Road",Chermside,QLD,4032,-27.38689843,153.0235385,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0001,Brisbane City,Satellite Location,health,"David Jones Rose Clinic - Level 2 Queens Plaza, 149 Adelaide Street",Brisbane,QLD,4000,-27.46822,153.026114,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0002,Northwest Community Health Centre,Satellite Location,health,", 49 Corrigan Street",Keperra,QLD,4054,-27.41324,152.958689,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0003,Indooroopilly Shopping Centre,Satellite Location,health,"Level 1 Shop 1031A, 322 Moggill Road",Indooroopilly,QLD,4068,-27.499722,152.9728543,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0004,Redcliffe Satellite,Satellite Location,health,"Lot 4, 29-31 Anzac Avenue",Redcliffe,QLD,4020,-27.23116942,153.1140544,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0005,North Lakes,Satellite Location,health,"Ground Floor - North Lakes Health Precinct, 9 Endeavour Boulevard",North Lakes,QLD,4509,-27.239134,153.020945,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0006,Brisbane Southside Service,Main Service Location,health,"Ground Floor QEII Jubilee Hospital, Kessels Road",Coopers Plains,QLD,4108,-27.559594,153.048976,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0007,Inala,Satellite Location,health,"Inala Community Health Centre, 64 Wirraway Parade",Inala,QLD,4077,-27.600647,152.971399,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0008,Logan Central,Satellite Location,health,"Logan Central Community Health Centre, 97-103 Wembley Road",Logan Central,QLD,4114,-27.640244,153.108184,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0009,Redlands,Satellite Location,health,"Redlands Community Health Services Centre, Weppin Street",Cleveland,QLD,4163,-27.540864,153.253221,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0010,Coorparoo,Satellite Location,health,", 277 Old Cleveland Rd",Coorparoo,QLD,4151,-27.495122,153.058613,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0011,Wynnum,Satellite Location,health,"Wynnum-Manly Community Health Centre,Gundu Pa, 20 New Lindum Road",Wynnum West,QLD,4178,-27.452248,153.154813,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0012,Mount Gravatt,Satellite Location,health,"The Village Shopping Centre, 1932 Logan Road",Upper Mount Gravatt,QLD,4122,-27.557872,153.080975,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0013,Browns Plains,Satellite Location,health,"Browns Plains Community Health Centre, Cnr Middle Road & Wineglass Drive",Hillcrest,QLD,4118,-27.674949,153.029144,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0014,Ipswich Service,Main Service Location,health,"Lower Ground Floor - Ipswich Health Plaza, 21 Bell Street",Ipswich,QLD,4305,-27.613048,152.761047,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0015,Wide Bay Service,Main Service Location,health,"Bundaberg Hospital, Bourbong Street",Bundaberg,QLD,4670,-24.869077,152.335987,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0016,Hervey Bay,Satellite Location,health,"Clinics Building - Hervey Bay Hospital, Cnr Nissen St and Urraween Rd",Pialba,QLD,4655,-25.298599,152.821086,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0017,Sunshine Coast Service,Main Service Location,health,"Block 4 - Nambour General Hospital, Hospital Road",Nambour,QLD,4560,-26.621066,152.950501,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0018,Caboolture,Satellite Location,health,"Suite 5 The Lakes Centre, 8-22 King Street",Caboolture,QLD,4510,-27.085443,152.953334,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
qld_breastscreen_0019,Caloundra,Satellite Location,health,"Caloundra Hospital, West Terrace",Caloundra,QLD,4551,-26.800409,153.119555,13 20 50,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,Free,qld_breastscreen,BreastScreen Queensland - Service Locations,Queensland Health,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/breastscreen-queensland-service-locations,2026-04-17,complete
