id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
qld_contacts_dccsds_0000,Office of the Director-General,Corporate Services,community,111 George Street,Brisbane,QLD,4000,,,07 3235 4312,(blank),,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0001,Community Services,Corporate Services,community,111 George Street,Brisbane,QLD,4000,,,(blank),enquiries@communities.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0002,Child Safety Services,Corporate Services,community,111 George Street,Brisbane,QLD,4001,,,(blank),info@childsafety.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0003,Disability Services,Corporate Services,community,"Level 3B, Neville Bonner Building 75 William Street",Brisbane,QLD,4000,,,(blank),(blank),,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0004,Complaints,Corporate Services,community,(blank),(blank),,(blank),,,(blank),feedback@communities.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0005,General Enquiries,Corporate Services,community,(blank),(blank),,(blank),,,(blank),disabilityinfo@disability.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0006,Right to Information,Corporate Services,community,(blank),(blank),,(blank),,,07 3224 2242,rti@communities.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0007,Website Feedback,Corporate Services,community,(blank),(blank),,(blank),,,(blank),webmail@communities.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0008,"Guide, Hearing and Assistance Dogs",Guide Dogs,community,(blank),(blank),,(blank),,,(blank),ghadogs@communities.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
qld_contacts_dccsds_0009,Adoptions,Adoption Services,community,"Lvl 1, 111 George Street",Brisbane,QLD,4001,,,07 3224 7415,ads@communities.qld.gov.au,,,,Free,qld_contacts_dccsds,Contacts List (DCCSDS),"QLD Families, Seniors, Disability Services and Child Safety",QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/contacts-list-department-of-communities-child-safety-and-disability-services,2026-04-17,complete
