id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
qld_gov_service_counters_0000,Agnes Water QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,71 Springs Road,Agnes Water,QLD,4677,-24.212252,151.910144,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0001,Aramac QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,58 Gordon Street,Aramac,QLD,4726,-22.970524,145.242898,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0002,Augathella QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Augathella Visitors Centre, 98 Main Street",Augathella,QLD,4477,-25.795825,146.581712,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0003,Ayr QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Ayr Magistrates Court, 163 Queen Street",Ayr,QLD,4807,-19.5758409,147.4050228,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0004,Babinda QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,10 Munro Street,Babinda,QLD,4861,-17.343982,145.924292,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0005,Barcaldine QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Barcaldine Magistrates Court, 65 Ash Street",Barcaldine,QLD,4725,-23.553474,145.290261,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0006,Beaudesert QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Tenancy 2, 1 Telemon Street",Beaudesert,QLD,4285,-27.988324,152.99542,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0007,Bedourie QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Police Station, Merri Street",Bedourie,QLD,4829,-24.358787,139.469664,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0008,Biloela QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,Cnr Grevillea and Melton Streets,Biloela,QLD,4715,-24.400826,150.513251,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0009,Birdsville QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Police Station, 17 MacDonald Street",Birdsville,QLD,4482,-25.901947,139.349082,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0010,Blackall QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,Shamrock Street,Blackall,QLD,4472,-24.421675,145.45902,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0011,Blackbutt QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,69 Hart Street,Blackbutt,QLD,4314,-26.884029,152.101976,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0012,Boonah QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,70 High Street,Boonah,QLD,4310,-27.996542,152.682354,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0013,Boulia QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Boulia Police Station, 39 Herbert Street",Boulia,QLD,4829,-22.909859,139.906762,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0014,Brisbane QGSC,Integrated government counter that provides transactional and information/referral services on behalf of a range of state government agencies.,information,"Upper Plaza (access via the corner of George & Charlotte Streets), 33 Charlotte Street",Brisbane,QLD,4000,-27.472,153.02591,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0015,Cairns QGSC,Integrated government counter that provides transactional and information/referral services on behalf of a range of state government agencies.,information,"William McCormack Place Ground Floor, 5B Sheridan Street",Cairns,QLD,4870,-16.92641,145.77538,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0016,Camooweal QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,Barkly Street,Camooweal,QLD,4828,-19.921387,138.1179982,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0017,Cannonvale QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Shops 5 - 7, 11 Island Drive",Cannonvale,QLD,4802,-20.278079,148.700917,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0018,Childers QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,67 Churchill Street,Childers,QLD,4660,-25.23571,152.277821,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0019,Chinchilla QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Chinchilla Magistrates Court, 90 Heeney Street",Chinchilla,QLD,4413,-26.740124,150.624897,+61 7 4672 4650,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,complete,address
qld_gov_service_counters_0020,Clermont QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,44 Daintree Street,Clermont,QLD,4721,-22.824185,147.639695,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0021,Collinsville QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,62 Sonoma Street,Collinsville,QLD,4804,-20.548952,147.84234,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0022,Cooktown QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Cooktown Magistrates Court, 172 Charlotte Street",Cooktown,QLD,4895,-15.461084,145.250666,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0023,Croydon QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,63 Samwell Street,Croydon,QLD,4871,-18.203578,142.244151,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
qld_gov_service_counters_0024,Crows Nest QGAP,Integrated government counter that provides transactional and information/referral services on behalf of a range of state and federal government departments and some commercial insurance agencies.,information,"Heritage Bank Building, 16 Charlotte Street",Crows Nest,QLD,4355,-27.260552,152.056337,,,,,,Free,qld_gov_service_counters,Government Service Counter Locations,QLD Customer Services,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/government-service-counter-locations,2026-04-19,partial,address
