id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
qld_youth_justice_centres_0000,Brisbane North Youth Justice Centre,,legal,41 Murray Street,Bowen Hills,QLD,4006,-27.4418731,153.0413788,(07) 3097 1300,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0001,Brisbane South Youth Justice Centre,,legal,306 Ipswich Road,Buranda,QLD,4102,-27.500706,153.0364595,(07) 3097 1400,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0002,Brisbane Youth Detention Centre,,legal,99 Wolston Park Road,Wacol,QLD,4076,-27.591691,152.915883,(07) 3021 0777,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0003,Bundaberg Youth Justice Centre,,legal,6 Heidke Street,Bundaberg,QLD,4670,-24.8873095,152.3206174,(07) 4154 9800,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0004,Caboolture Youth Justice Centre,,legal,10-20 Walker Road,Morayfield,QLD,4506,-27.111287,152.950237,(07) 5433 6900,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0005,Cairns Youth Justice Centre,,legal,120 Spence Street,Parramatta Park,QLD,4870,-16.92807,145.7712,(07) 4255 7585,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0006,Central West Youth Justice Service,,legal,50 Borilla Street,Emerald,QLD,4720,-23.522617,148.158932,(07) 4986 8600,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0007,Jumbunna (Cherbourg Youth Justice Centre),,legal,3 Vincent Law Senior Way,Cherbourg,QLD,4605,-26.29191,151.95213,(07) 4179 5300,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0008,Cleveland Youth Detention Centre,,legal,27-79 Old Common Road,Belgian Gardens,QLD,4810,-19.251653,146.787617,(07) 4421 5222,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0009,Gladstone Youth Justice Centre,,legal,"Level 3, Government Building, Corner Oaka Lane and Roseberry Street",Gladstone,QLD,4680,-23.8414219,151.2559064,(07) 4843 7600,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
qld_youth_justice_centres_0010,Gold Coast Youth Justice Centre,,legal,"Shop 13 Pacific Square, 2532-2540 Gold Coast Highway",Mermaid Beach,QLD,4218,-28.04125,153.43308,(07) 5675 4200,,,,,Free,qld_youth_justice_centres,Youth Justice Centre Locations,QLD Youth Justice,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/youth-justice-centre-locations,2026-04-17,complete
