id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
sa_child_family_health_0000,Aberfoyle Park,Child and family health centre,health,Taylors Road West,Aberfoyle Park,SA,5159,-35.06171,138.60390,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0001,Adelaide,Child and family health centre,health,Sturt Street Community School 221 Sturt Street,Adelaide,SA,5000,-34.93646,138.60776,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0002,Aldinga,Child and family health centre,health,"GP Plus, Pridham Boulevard",Aldinga Beach,SA,5173,-35.29057,138.47000,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0003,Andamooka,Child and family health centre,health,Andamooka Primary School,Andamooka,SA,5722,-30.71795,137.18278,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0004,Balaklava,Child and family health centre,health,"Hospital, War Memorial Drive",Balaklava,SA,5461,-34.09531,138.44446,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0005,Barmera,Child and family health centre,health,"Health Centre, Scott Avenue",Barmera,SA,5345,-34.18703,140.45451,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0006,Berri,Child and family health centre,health,"Riverland Community Health Centre, Cornwall Street",Berri,SA,5343,-34.32129,140.55618,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0007,Booleroo Centre,Child and family health centre,health,"Community Health Centre, Stephens Street",Booleroo Centre,SA,5482,-32.84220,138.35735,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0008,Bordertown,Child and family health centre,health,"Hawke House, 63 Farquhar Street",Bordertown,SA,5268,-36.18938,140.78820,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0009,Burra,Child and family health centre,health,Hospital 46 Commercial Street,Burra,SA,5417,-33.46741,139.86582,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0010,Ceduna,Child and family health centre,health,"Shop 5, 62 Poynton Street",Ceduna,SA,5690,-31.98642,133.25248,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0011,Clare,Child and family health centre,health,179 Main North Road,Clare,SA,5453,-33.80293,138.58268,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0012,Cleve,Child and family health centre,health,"Cleve Medical Centre, 15 Main Street",Cleve,SA,5640,-33.60602,136.43766,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0013,Coffin Bay,Child and family health centre,health,Playgroup Centre,Coffin Bay,SA,5607,-35.10076,136.37914,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0014,Coober Pedy,Child and family health centre,health,"Community Health Centre, McDougal Street",Coober Pedy,SA,5723,-28.58052,135.01332,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0015,Coonalpyn,Child and family health centre,health,"Community Health Centre, Peake Terrace",Coonalpyn,SA,5265,-35.71882,139.74342,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0016,Cowandilla,Child and family health centre,health,34 Wilson Street,Cowandilla,SA,5033,-34.93886,138.55845,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0017,Cowell,Child and family health centre,health,Community Health Centre,Cowell,SA,5602,-33.52395,136.84940,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0018,Crystal Brook,Child and family health centre,health,"Crystal Brook Preschool, Mais Terrace",Crystal Brook,SA,5523,-33.37189,138.14008,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0019,Cummins,Child and family health centre,health,"SA Ambulance Centre, Tumby Bay Road",Cummins,SA,5631,-34.28578,135.66453,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0020,Edwardstown,Child and family health centre,health,2 Furness Avenue,Edwardstown,SA,5039,-34.97626,138.57074,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0021,Elizabeth,Child and family health centre,health,"Elizabeth City Shopping Centre, next to Post Office, Playford Blvd",Elizabeth,SA,5112,-34.72623,138.66662,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0022,Elizabeth Grove,Child and family health centre,health,"Elizabeth Grove Primary School, Gunther Street",Elizabeth Grove,SA,5113,-34.70271,138.67263,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0023,Elizabeth Kaurna Plains,Child and family health centre,health,Ridley Road,Elizabeth,SA,5112,-34.72623,138.66662,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
