id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
sa_private_hospitals_0000,Ashford Hospital,Private hospital,other,55 Anzac Highway,Ashford,SA,5035,-34.94812965299997,138.57677068700002,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0001,Adelaide Surgicentre,Private hospital,other,89 King William Street,Kent Town,SA,5067,-34.91758833099993,138.62079459100005,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0002,North Adelaide Day Surgery,Private hospital,other,174 Ward Street,North Adelaide,SA,5006,-34.908726082999976,138.59472966500005,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0003,Hamilton House Day Surgery,Private hospital,other,470 Goodwood Road,Cumberland Park,SA,5041,-34.974886192999975,138.59112399200012,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0004,Glenelg Day Surgery,Private hospital,other,24 Gordon Street,Glenelg,SA,5045,-34.978717993999965,138.51794638,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0005,Glen Osmond Surgicentre,Private hospital,other,45 Glen Osmond Road,Eastwood,SA,5063,-34.942673431999935,138.619772989,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0006,Northern Endoscopy Centre,Private hospital,other,127 Frost Road,Salisbury South,SA,5106,-34.78179484799995,138.65096273200004,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0007,Brighton Day Surgery,Private hospital,other,1 Jetty Road,Brighton,SA,5048,-35.01727576099995,138.52238310600012,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0008,FMC Brighton Dialysis Clinic,Private hospital,other,361-365 Brighton Road,Hove,SA,5048,-35.009623009999984,138.52213928700007,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0009,Parkview Day Surgery,Private hospital,other,215 Greenhill Road,Eastwood,SA,5063,-34.94063876599995,138.62164329600012,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0010,FMC Payneham Dialysis Clinic,Private hospital,other,350a Payneham Road,Payneham,SA,5070,-34.896704900999964,138.63973480200002,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0011,Oromax Day Surgery,Private hospital,other,Level 2 66 Rundle Street,Kent Town,SA,5067,-34.920288899999946,138.61943030600003,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0012,Flinders Private Hospital,Private hospital,other,1 Flinders Drive,Bedford Park,SA,5042,-35.02079215699996,138.569138446,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0013,Griffith Rehabilitation Hospital,Private hospital,other,13 Dunrobin Road,Hove,SA,5048,-35.01012571599995,138.52418044400008,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0014,Stirling Hospital,Private hospital,other,20 Milan Terrace,Stirling,SA,5152,-35.00742947699996,138.71493009300002,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0015,Glenelg Community Hospital Inc,Private hospital,other,5 Farrell Street,Glenelg South,SA,5045,-34.989924618999964,138.5122331660001,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0016,St Andrew's Hospital Inc,Private hospital,other,350 South Terrace,Adelaide,SA,5000,-34.93424678499997,138.6148278070001,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0017,Burnside Hospital Toorak Gardens,Private hospital,other,120 Kensington Road,Toorak Gardens,SA,5065,-34.92771300499993,138.63821024700007,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0018,Calvary North Adelaide Hospital,Private hospital,other,89 Strangways Terrace,North Adelaide,SA,5006,-34.90993513999996,138.58870609500002,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0019,The Memorial Hospital,Private hospital,other,Sir Edwin Smith Avenue,North Adelaide,SA,5006,-34.91267418399997,138.6001178130001,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0020,Calvary Central Districts Hospital,Private hospital,other,25 Jarvis Road,Elizabeth Vale,SA,5112,-34.75538661899998,138.6561672780001,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0021,North Eastern Community Hospital Inc,Private hospital,other,580 Lower North East Road,Campbelltown,SA,5074,-34.882264203999966,138.66149897200012,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0022,Burnside Hospital Stepney,Private hospital,other,32 Payneham Road,Stepney,SA,5069,-34.91382951999998,138.625036474,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0023,Calvary Adelaide Hospital,Private hospital,other,120 Angas Street,Adelaide,SA,5000,-34.92955088399998,138.60539562600002,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0024,Ramsay Clinic Adelaide,Private hospital,other,33 Park Terrace,Gilberton,SA,5081,-34.90636526099996,138.61380448300008,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0025,Western Hospital,Private hospital,other,168 Cudmore Terrace,Henley Beach,SA,5022,-34.91049612699993,138.50016402000006,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0026,Adelaide Day Surgery,Private hospital,other,18 North Terrace,Adelaide,SA,5000,-34.92254741299996,138.588891557,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0027,Repromed Day Surgery,Private hospital,other,180 Fullarton Road,Dulwich,SA,5065,-34.93723984099995,138.62476337300006,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
sa_private_hospitals_0028,Norwood Day Surgery,Private hospital,other,42 Nelson Street,Stepney,SA,5069,-34.912235159999966,138.62947256600012,,,,,,Free,sa_private_hospitals,SA Private Hospitals,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/sa-private-hospitals,2026-04-19,partial
