id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
tas_service_shops_0000,Service Tasmania - Beaconsfield,Service Tasmania government service shop,information,West Tamar Council Chambers West Street Beaconsfield TAS 7270,,TAS,,-41.201187,146.814436,,,,"Monday,Wednesday and Friday 9.30am - 4.30pm Closed Tuesday and Thursday",,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0001,Service Tasmania - Bridgewater,Service Tasmania government service shop,information,Bridgewater LINC Green Point Road Bridgewater TAS 7030 (Behind the Civic Centre),,TAS,,-42.739384,147.243568,,,,Monday to Friday 9.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0002,Service Tasmania - Burnie,Service Tasmania government service shop,information,Reece House 48 Cattley Street Burnie TAS 7320,,TAS,,-41.052159,145.904697,,,,Monday to Friday 8.45am - 4.45pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0003,Service Tasmania - Campbell Town,Service Tasmania government service shop,information,Town Hall Main Road Campbell Town TAS 7210,,TAS,,-41.926996,147.494281,,,,Monday to Friday 11.00am - 4.00pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0004,Service Tasmania - Currie,Service Tasmania government service shop,information,15 George Street Currie King Island TAS 7256,,TAS,,-39.92878,143.853467,,,,"Monday,Tuesday,Thursday and Friday 11.00am - 4.00pm,Closed Wednesday",,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0005,Service Tasmania - Deloraine,Service Tasmania government service shop,information,8 Emu Bay Road Deloraine TAS 7304,,TAS,,-41.525134,146.656387,,,,Monday to Friday 9.30am - 1.00pm and 1.30pm - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0006,Service Tasmania - Devonport,Service Tasmania government service shop,information,21 Oldaker Street Devonport TAS 7310,,TAS,,-41.176649,146.359187,,,,Monday to Friday 8.45am - 4.45pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0007,Service Tasmania - George Town,Service Tasmania government service shop,information,George Town Community Hub 12 Elizabeth Street George Town TAS 7253,,TAS,,-41.107197,146.821179,,,,Monday to Friday 10.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0008,Service Tasmania - Glenorchy,Service Tasmania government service shop,information,4 Terry Street Glenorchy TAS 7010,,TAS,,-42.834527,147.275432,,,,Monday to Friday 9.00am - 5.00pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0009,Service Tasmania - Hobart,Service Tasmania government service shop,information,134 Macquarie Street Hobart TAS 7000,,TAS,,-42.884718,147.328135,,,,Monday to Friday 9.00am - 5.00pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0010,Service Tasmania - Huonville,Service Tasmania government service shop,information,Huon LINC Building 1 Skinner Drive Huonville TAS 7109,,TAS,,-43.031262,147.049529,,,,Monday to Friday 9.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0011,Service Tasmania - Kingston,Service Tasmania government service shop,information,Shop 87A Channel Court Shopping Centre Kingston TAS 7051,,TAS,,-42.976393,147.30965,,,,Monday to Friday 9.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0012,Service Tasmania - Launceston,Service Tasmania government service shop,information,Henty House 1 Civic Square Launceston TAS 7250,,TAS,,-41.436404,147.136332,,,,Monday to Friday 8.30am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0013,Service Tasmania - Longford,Service Tasmania government service shop,information,"Shop 6, 9 Wellington St Longford TAS 7301",,TAS,,-41.588314,147.119995,,,,Monday to Friday 9.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0014,Service Tasmania - New Norfolk,Service Tasmania government service shop,information,14 Bathurst Street New Norfolk TAS 7140,,TAS,,-42.780216,147.067195,,,,Monday to Friday 9.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0015,Service Tasmania - Oatlands,Service Tasmania government service shop,information,71 High Street Oatlands TAS 7120,,TAS,,-42.299936,147.371995,,,,Monday to Friday 11.00am - 4.00pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0016,Service Tasmania - Queenstown,Service Tasmania government service shop,information,9-13 Driffield Street Queenstown TAS 7467,,TAS,,-42.079722,145.554155,,,,Monday to Friday 9.30am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0017,Service Tasmania - Rosny,Service Tasmania government service shop,information,LINC Bligh Street Rosny Park TAS 7018,,TAS,,-42.863641,147.370616,,,,Monday to Friday 9.00am - 5.00pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0018,Service Tasmania - Scottsdale,Service Tasmania government service shop,information,51 King Street Scottsdale TAS 7260,,TAS,,-41.162198,147.515492,,,,Monday to Friday 10.00am - 4.30pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
tas_service_shops_0019,Service Tasmania - Sheffield,Service Tasmania government service shop,information,64 High Street Sheffield TAS 7306,,TAS,,-41.38096,146.326086,,,,Monday to Friday 9.30am - 12.30pm and 1.00pm - 4.00pm,,Free,tas_service_shops,Service Tasmania Shop Locations,Department of Premier and Cabinet (Tasmania),TAS,CC-BY-4.0,https://data.gov.au/data/dataset/service-tasmania-shop-locations,2026-04-17,partial
