id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_ballarat_community_centres_0000,Kohinoor Community Centre,Community centre/hall,community,"417 Errard St Sth, Ballarat Central",,VIC,,-37.5709906663358,143.847381939649,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0001,Brown Hill Hall,Community centre/hall,community,375 Humphray St Nth Brown Hill,,VIC,,-37.5528834203297,143.897197817054,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0002,Buninyong Town Hall,Community centre/hall,community,313 Learmonth St Buninyong,,VIC,,-37.6508668509855,143.884716323045,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0003,Scotsburn Public Hall,Community centre/hall,community,Midland Hwy Scotsburn,,VIC,,-37.6702619906971,143.927914531582,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0004,Buninyong Community Facility,Community centre/hall,community,Cornish St Buninyong,,VIC,,-37.6496639505914,143.890929313478,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0005,Cardigan Village Community Centre,Community centre/hall,community,31 Mitchell Drive Cardigan Village,,VIC,,-37.5146683493514,143.708705250113,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0006,Miners Rest Hall,Community centre/hall,community,8 Market St Miners Rest,,VIC,,-37.4815674053561,143.802258982269,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0007,Invermay Public Hall,Community centre/hall,community,6 Muscatel St Invermay,,VIC,,-37.5220788898284,143.874079216556,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0008,Burrumbeet Soldiers Memorial Hall,Community centre/hall,community,46 Burrumbeet Rd Burrumbeet,,VIC,,-37.470107575015,143.657625290465,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
vic_ballarat_community_centres_0009,Warrenheip Memorial Hall,Community centre/hall,community,Ti Tree Rd Warrenheip,,VIC,,-37.5754274446657,143.925229839749,,,,,,Free,vic_ballarat_community_centres,Ballarat Community Centres and Halls,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-centres-and-halls,2026-04-19,partial
