id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_ballarat_early_learning_0000,Ballarat Clarendon College Early Learning Centre,Early learning centre,education,614 Mair Street,Ballarat Central,VIC,,-37.5586047,143.8510722,,,https://www.clarendon.vic.edu.au/school-life/elc,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0001,Ballarat North Early Learning Centre,Early learning centre,education,1013 Ligar Street,Ballarat North,VIC,,-37.540552,143.863418,,,https://www.ballaratnorthelc.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0002,Brady Bunch Early Learning Centre- Ballarat,Early learning centre,education,8 Baudinette Drive,Sebastopol,VIC,,-37.593464,143.830595,,,https://www.bradybunchelc.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0003,Buninyong Child Care Centre,Early learning centre,education,311 Learmonth Street,Buninyong,VIC,,-37.6510176,143.8847771,,,https://buninyongchildcarecentre.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0004,Green Leaves Early Learning Centre,Early learning centre,education,1212 - 1216 Norman Street,Wendouree,VIC,,-37.531786,143.821298,,,https://greenleaveselc.com.au/centre/wendouree,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0005,Sesame Kids,Early learning centre,education,89-93 Albert Street,Sebastopol,VIC,,-37.589886,143.841499,,,https://sesamekids.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0006,Sturt Street Early Learning,Early learning centre,education,1853-1857 Sturt Street,Alfredton,VIC,,-37.5466151,143.7958894,,,https://sturtstreetearlylearning.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0007,Alfredton Preschool,Early learning centre,education,6-8 Balyarta Street,Alfredton,VIC,,-37.5524015,143.8064622,,,https://earlylearning.unitingvictas.org.au/find-a-service/alfredton-preschool,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0008,Brown Hill Kindergarten,Early learning centre,education,1 Reid Court,Brown Hill,VIC,,-37.551825,143.895079,,,https://ecka.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0009,Cardigan Village Kindergarten,Early learning centre,education,2 Mitchell Drive,Cardigan Village,VIC,,-37.514606,143.70879300000001,,,https://earlylearning.unitingvictas.org.au/find-a-service/cardigan-village-kindergarten,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
