id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_ballarat_food_0000,Anglicare Community Breakfast Program,Community food activity,other,"49 Lydiard Street South, Ballarat",,VIC,,-37.563588,143.858027,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0001,Ballarat East Community Garden,Community food activity,other,"Cnr Queen St and Dyte Pde, Ballarat East",,VIC,,-37.559141,143.876483,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0002,Ballarat South Community Hub Garden,Community food activity,other,"Tuppen Drive, Sebastopol",,VIC,,-37.587826,143.83239,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0003,Barkly Campus Breakfast,Community food activity,other,"31-39 Barly St, Ballarat East",,VIC,,-37.564498,143.869323,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0004,"Breakfast Club, Yuille Park PS",Community food activity,other,"Yuille Park PS, Violet Grove, Wendouree",,VIC,,-37.527446,143.820307,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0005,BreezeWay Meals Program,Community food activity,other,"105 Dana St, Ballarat",,VIC,,-37.564501,143.858387,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0006,Buninyong Community Garden,Community food activity,other,"Buninyong Sustainability at Royal Park, 1101 WarrenheipStreet, Buninyong",,VIC,,-37.65655,143.882242,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0007,Cook and Chatter,Community food activity,education,"Cnr Leith St and Pleasant St, Redan",,VIC,,-37.578604,143.835391,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0008,Cooking Basics,Community food activity,education,"Wendouree Neighbourhood Centre, 12 ? 14 Violet Grove, Wendoureee",,VIC,,-37.529167,143.820774,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0009,Food is Free Laneway Ballarat,Community food activity,other,"Cnr Ripon St and Warrior Pl, Ballarat",,VIC,,-37.566968,143.840176,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0010,Food is Free Laneway Ballarat,Community food activity,other,"Cnr Ditchfield Rd and Benson St, Brown Hill",,VIC,,-37.547232,143.909054,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
