id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
vic_casey_food_relief_0000,AFM Vic Care,"Fruits and vegtables, cooked meals.",food,49 Valepark Crescent Cranbourne,Cranbourne,VIC,3977,-38.10810518971078,145.2710575459649,+61 4 1626 5727,afmviccare@gmail.com,https://www.afmviccare.org,Thursday 11am-1pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0001,Shepherds Table,Provides hot meal on the first and third Saturday of each month. Confirm attendance through phone number.,food,"Our Lady of Help Christian Parish, 496 Princes Highway Narre Warren",Narre Warren,VIC,3805,-38.02669912837277,145.3138130757207,+61 4 8822 7535,olhc@olhc.org.au,https://www.olhc.org.au/shepherds-table,11:30am (serves at 12pm) to 1:30-2pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0002,Turning Point Food Support – Lyndhurst,Must register basic details. Hamper available to pick up,food,"Marriott Waters Community Centre, 25 Boland Drive, Lyndhurst",Lyndhurst,VIC,3975,-38.073003071660516,145.25327776131658,,church@turningpoint.asn.au,https://www.turningpointchurch.org.au/lyndhurst,Friday: 1pm – 3pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0003,Helping Hands (Cross Purpose Church),"Provides a free cooked lunch, free pantry items, free clothes and free pet food Every Wednesday we provide a free cooked lunch, free pantry items, free clothes and free pet food",food,Greg Clydesdale Square Cranbourne,Cranbourne,VIC,3977,-38.110545254882034,145.2826987346277,,info@crosspurposechurch.org,http://crosspurposechurch.org/,Every Wednesday 1.30pm to 2.30pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0004,Helping Hands (Cross Purpose Church),"Provides a free cooked lunch, free pantry items, free clothes and free pet food Every Saturday we provide a free cooked lunch, free pantry items, free clothes and free pet food",food,Timbarra Park Berwick,Berwick,VIC,3977,-38.01337897331047,145.32487560922553,,info@crosspurposechurch.org,http://crosspurposechurch.org/,Every Saturday 1.00pm to 2.00pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0005,Doveton Neighbourhood Learning centre (DNLC),"Eligble to those on concession, health care card, asylum seeker and refugee visa or those experiencing hardship. Appointments made via phone. Provides food relief via non-pershables",food,"34 Oak Avenue, Doveton",Doveton,VIC,3177,-37.99680224224581,145.24204160645996,,info@dovetonnlc.com.au,http://www.dovetonnlc.net.au/,Thursdays & Fridays: 9:30am-1:30pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0006,Transit Soup Kitchen - Narre Warren Christian Church,"Transit offers a free 3 course meal, fresh food and groceries to those in need in the City of Casey, Officer and Pakenham area. Please refer to website for eligibility.",food,3/4 Webb Street Narre Warren,Narre Warren,VIC,3805,-38.026596783616306,145.303301505894,+61 4 8498 6466,admin@transitsoupkitchen.org.au,http://transitoutreach.org.au/index.html,Monday: 5pm – 7pm Wednesday: 12pm - 3pm Thursday: 1pm – 4pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0007,Hampton Park Uniting church,Provides free lunches once a week,food,"1 Coral Drive, Hampton Park",Hampton Park,VIC,3976,-38.03538895168221,145.26801489430017,,office@unitingplace.org.au,https://www.adra.org.au/,Community pantry Thursday 10 am – 12pm. Free Community lunch Thursday @12.30pm.,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0008,Manna 4 Life,Hot meal weekly,food,"34 Oak Avenue, Doveton",Doveton,VIC,3177,-37.99672957508048,145.24216183677794,+61 4 1211 1461,info@manna4life.org.au,https://www.manna4life.org.au/our-service,Every Tuesday night at 6pm (dinner is served from 7pm - 8pm),,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0009,Theodora's Cheerful Givers,"Free food hampers and frozen meals, pick-up.",food,"1/12 Govan Street, Seaford",Seaford,VIC,3198,-38.115295336387774,145.13193992984105,+61 4 1380 7763,ginapoulos44@gmail.com,http://theodorahouse.com/,Monday - Friday (10am - 3.30pm),,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0010,Sikh Volunteers Australia,Home deliveries - ordered by 12.00pm previous day through phone numbers,food,"1565A Dandenong-Hasting Road, Langwarrin",Langwarrin,VIC,3910,-38.173714473528506,145.22007232154073,+61 4 5240 1734,sikhvolunteers.australia@yahoo.com,https://www.sikhvolunteersaustralia.org/,Contact service for availability,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0011,Casey North Community Information and Support Service,Provides food relief support,food,"Suite 2, 30-32 Verdun Drive, Narre Warren",Narre Warren,VIC,3805,-38.02490255464862,145.31480452206182,,cnciss@caseynorthciss.com.au,https://www.caseynorthciss.com.au/,Monday to Friday (9:30am-4:30pm),,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0012,Cranbourne Information and Support Services,Provides food relief support through Coles & Woolworths vouchers. Can also be used for fuel. Appointments made via phone. Also has food pantry available with non-perishables.,food,"156 Sladen Street, Cranbourne",Cranbourne,VIC,3977,-38.11350261148767,145.2820838804083,,cisc@cisc.org.au,https://ciscranbourne.org.au/,Monday to Friday 9:30am-4pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
vic_casey_food_relief_0013,Berwick Church of Christ,"Food pantry with non-perishables, frozen meals, spreads. All varies depending on availaility at the time",food,"446 Centre Road, Berwick",Berwick,VIC,3806,-38.049408136031715,145.3360364161518,,info@bcoc.com.au,https://berwickchurch.org.au/food-pantry,Tuesdays 10:30am - 2pm (except after a public holiday) Office hours are Monday to Friday 9:00am - 5:00pm,,Free,vic_casey_food_relief,Emergency Food Relief Groups,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/emergency-food-relief-groups,2026-04-19,complete,address
