id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_casey_maternal_health_0000,Fountain Gate Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,12 Sylvanwood Crescent,,VIC,,-38.007562003212044,145.29397900788368,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0001,Coral Drive Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,187-191 Coral Drive,,VIC,,-38.04417500318633,145.27548602202603,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0002,Willora Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,75-81 Willora Crescent,,VIC,,-38.10303900159978,145.25991501125716,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0003,Camms Road Maternal and Child Health,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,73-75 Camms Road,,VIC,,-38.09681700393938,145.27432402492101,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0004,Tooradin Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,102 South Gippsland Highway,,VIC,,-38.21396300291057,145.38133302343883,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0005,Bridgewater Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,45 Bridgewater Boulevard,,VIC,,-38.06611000091869,145.34700402101151,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0006,Carlisle Park Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,2-20I Majestic Boulevard,,VIC,,-38.08704400443276,145.29118000906854,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0007,Marriott Waters Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,25I Boland Drive,,VIC,,-38.07289100393539,145.2530310249533,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0008,David Collins Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,23-25 David Collins Drive,,VIC,,-37.98992300318893,145.26492702110713,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0009,Manna Gum Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,2-16 Calgary Way,,VIC,,-38.08119600294535,145.37333801131527,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0010,Eliston Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,20 Eliston Avenue,,VIC,,-38.121923867763556,145.3316844316485,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0011,Orana Community Hub,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,Playwright Street,,VIC,,-38.12211992005086,145.37059496428907,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0012,Allara Maternal and Child Health,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,15-19 Gleneagles Drive,,VIC,,-37.96611400356979,145.26520301585646,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0013,Fleetwood Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,88-92I Fleetwood Drive,,VIC,,-38.03905800349126,145.31894304172627,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0014,Littlecroft Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,51I The Strand,,VIC,,-38.069396002507595,145.30087301983087,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0015,Doveton College,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,62 Tristania Street,,VIC,,-37.99069100127475,145.24405402722192,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0016,Lynbrook Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,25 River Redgum Place,,VIC,,-38.05442700111325,145.2497559945742,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0017,Selandra Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,45 Haflinger Avenue,,VIC,,-38.10786100350657,145.32072999849998,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
