id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
vic_neighbourhood_houses_0000,Alamein Neighbourhood and Learning Centre,Neighbourhood house,community,49 Ashburn Grove,Ashburton,VIC,3147,-37.86786,145.09295,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0001,Allwood Neighbourhood House,Neighbourhood house,community,901 Main Road,Hurstbridge,VIC,3099,-37.59210,145.19285,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0002,Amaroo Neighbourhood Centre,Neighbourhood house,community,34 Amaroo Street,Chadstone,VIC,3148,-37.88032,145.09563,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0003,Anglesea and District Community House,Neighbourhood house,community,5 McMillan Street,Anglesea,VIC,3230,-38.40936,144.17640,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0004,Angliss Neighbourhood House,Neighbourhood house,community,2/11 Vipont Street,Footscray,VIC,3011,-37.80710,144.90795,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0005,Ararat Neighbourhood House,Neighbourhood house,community,56 Campbell Street,Ararat,VIC,3377,-37.22128,142.96338,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0006,Bairnsdale Neighbourhood House,Neighbourhood house,community,27 Dalmahoy Street,Bairnsdale,VIC,3875,-37.79565,147.63201,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0007,Ballarat East Community House,Neighbourhood house,community,36 Steinfeld Street,Ballarat,VIC,3350,-37.57117,143.86036,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0008,Ballarat North Community House,Neighbourhood house,community,6 Crompton Street,Ballarat,VIC,3350,-37.57117,143.86036,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0009,Beaconsfield Neighbourhood House,Neighbourhood house,community,8 O'Neill Road,Beaconsfield,VIC,3807,-38.04832,145.37163,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
