osm_id,name,lat,lon,state,amenity,office,social_facility,social_facility_for,addr_street,addr_suburb,addr_postcode,phone,website,email,opening_hours,wheelchair
,The Hut Community Centre,-35.0142843,138.7327505,SA,community_centre,,,,,,,,https://www.thehut.org.au/,,,
,Samsonvale Hall,-27.2931347,152.8524044,QLD,community_centre,,,,,,,,,,,
,ACT Emergency Services,-35.3230733,149.0780808,ACT,social_facility,,,,,,,,,,,
,Blackbutt Youth Centre,-34.5650374,150.8337825,NSW,community_centre,,,,,,,,,,,
,Sorrento Community Hall,-31.8311202,115.7477798,WA,community_centre,,,,,,,,,,,
,Vietnamese Catholic Club,-31.8610755,115.8275228,WA,community_centre,,,,,,,,,,,
,Warilla Community Centre,-34.552161,150.8573207,NSW,community_centre,,,,Benaud Crescent,Warilla,2528,,,,Su-Th 08:00-22:00; Fr-Sa 08:00-24:00,yes
,Ningana Retirement Village,-27.1733467,151.2708126,QLD,social_facility,,assisted_living,senior,Horace Street,,,+61 7 4669 0100,https://www.ningana.org.au/,,,
,Bulimba Senior Citizens & Community Centre,-27.4535401,153.0577082,QLD,community_centre,,,,,,,,,,,
,Forest Hill Hall,-37.8352191,145.1736916,VIC,community_centre,,,,,,,,,,,
,Caboolture Community Action,-27.0812205,152.9559847,QLD,community_centre,,,,,,,,,,,
,Lord Howe Island Community Hall,-31.5244066,159.0608471,,community_centre,,,,,,,,,,,
,Uniting,-37.7986369,145.2799468,VIC,social_facility,,,,Mount Dandenong Road,Croydon,3136,+61 3 9724 2222,https://www.unitingvictas.org.au/,,,
,Garden Suburb Community Hall,-32.9473195,151.6830806,NSW,community_centre,,,,,,,,,,,
,Food 4 Life,-32.9009205,151.6691067,NSW,social_facility,,food_bank,,,,,+61 2 4951 2487,https://huntercommunityhub.org.au/community/directory/baptist-community-services-food-for-life/,,,
,Greenbank Community Centre,-27.73049,152.9834131,QLD,community_centre,,,,,,,,,,,
,St Francis Aged Care,-33.2791792,149.0907832,NSW,social_facility,,nursing_home,senior,,,,,,,,
,Department of Human Services,-35.1845319,149.1348799,ACT,social_facility,government,,,,,,,,,,
,The Hermitage Lifestyle Resort,-32.6603329,152.143809,NSW,social_facility,,nursing_home,,,,,,,,,
,Rosebery Community Center,-41.7799707,145.539038,TAS,community_centre,,,,,,,,,,,
,Samford Farmers Hall,-27.3707064,152.8873683,QLD,community_centre,,,,Main Street,Samford Village,4520,+61 438 824 044,,,,
,Mount Druitt Hall,-33.77325,150.8108742,NSW,community_centre,,,,Mount Druitt Road,,2770,,,,,
,Tonimbuk Public Hall,-38.0067395,145.7165829,VIC,community_centre,,,,,,,,,,,
,Municipal Hall,-38.2413684,142.9153211,VIC,community_centre,,,,,,,,,,,
,School of Arts - Rand Hall,-35.5936832,146.5785078,VIC,community_centre,,,,,,,,,,,
,Busy Fingers Charity Shop,-27.07725,153.1620924,QLD,community_centre,,,,,,,,,,,
,,-38.5486717,145.4748812,VIC,community_centre,,,,,,,,,,,
,Lions Village Torquay,-38.3244211,144.3161692,VIC,social_facility,,assisted_living,,,,,,,,,
,Clifton Co-op,-37.7822837,144.9899063,VIC,,ngo,,,,,,,,,,
,Liston Community Hall,-28.6469696,152.0856952,QLD,community_centre,,,,Stanthorpe Street,Liston,2372,,,,,
,Returned and Services League (City of Cockburn Sub-Branch),-32.081384,115.7835486,WA,,ngo,,,Frederick Road,Hamilton Hill,,+61 438 606 272,https://www.rslwa.org.au/branch/city-of-cockburn/,,,
,MyWay Centre,-35.2786717,149.1301078,ACT,social_facility,,,,,,,,,,,
,Tinbeerwah Hall,-26.4038462,152.9828117,QLD,community_centre,,,,,,,,,,,
,Scout Hall,-33.8291424,151.1914058,NSW,community_centre,,,,,,,,,,,
,Bribie Island Community Arts Centre,-27.0483257,153.1533731,QLD,community_centre,,,,Sunderland Drive,,,,https://www.bribieartscentre.com.au/,,Tu-Sa 09:00-16:00; Su 09:00-13:00,
,Loch Community Centre,-38.3698179,145.7073155,VIC,community_centre,,,,,,,,,,,
,,-33.3444055,149.1612198,NSW,community_centre,,,,,,,,,,,
,Glencoe Community Hall,-29.9276534,151.7244598,NSW,community_centre,,,,,,,,,,,
,Regis Aged Care,-27.3109239,153.0616292,QLD,social_facility,,group_home,senior,Wakefield Street,,,+61 7 3869 6000,http://www.masoniccareqld.org.au/residential-care/sandgate.aspx,,,
,,-33.9571752,148.959576,VIC,community_centre,,,,,,,,,,,
,Tamrookum Hall,-28.1232418,152.9173159,QLD,community_centre,,,,Tamrookum Church Road,Tamrookum,4285,,https://www.monumentaustralia.org.au/display/106917-tamrookum-memorial-hall,,,
,,-33.279472,115.7165048,WA,community_centre,,,,,,,,,,,
,Mission Australia,-32.551434,148.9412404,NSW,,charity,,,,,,,,,,
,Jubilee Community Centre,-21.1438259,149.1814072,QLD,community_centre,,,,,,,,https://www.mackay.qld.gov.au/community/council_facilities2/jubilee_community_centre,,,
,Soldiers Memorial Hall,-27.716037,151.6330385,QLD,community_centre,,,,,,,,,,,
,Aged Care Complex,-35.0691678,138.5946092,SA,social_facility,,nursing_home,senior,Campus Drive,Aberfoyle Park,5159,,https://www.estiahealth.com.au/our-homes/sa-adelaide/aberfoyle-park/,,,
,Senior Citizens Club,-26.400065,146.2412722,QLD,community_centre,,,,,,,+61 7 4654 1586,,,,
,Yelarbon & District Soldiers Memorial Hall,-28.5728741,150.7518428,QLD,community_centre,,,,,,,,,,,
,,-31.2114949,151.3217554,NSW,community_centre,,,,,,,,,,,
,Mount Nimmel Hall,-28.132947,153.316503,QLD,community_centre,,,,Austinville Road,,,+61 432 199 309,http://mtnimmelhall.org.au/,,,
,Australind Community Hall,-33.279795,115.716643,WA,community_centre,,,,,,,,,,,
,King's Hall,-41.3430449,146.4261199,TAS,community_centre,,,,,,,,,,,
,Tambar Springs Community Hall,-31.3498056,149.8279155,NSW,community_centre,,,,,,,,,,,
,,-31.9352368,115.8814878,WA,social_facility,,assisted_living,senior,,,,,,,,
,Centrelink Queanbeyan,-35.3519365,149.2330337,ACT,social_facility,,,,,,,,,,,
,Bilpin Hall,-33.4992938,150.5107772,NSW,community_centre,,,,,,,,,,,
,Merrylands Youth Centre,-33.8355835,150.9860281,NSW,community_centre,,,,,,,,,,,
,Pakenham Masonic Centre,-38.0823333,145.4876525,VIC,community_centre,,,,,,,,,,,
,Andergrove Community Centre,-21.0976463,149.1782155,QLD,community_centre,,,,Celeber Drive,Andergrove,4740,,https://www.mackay.qld.gov.au/facilities/spaces/community_halls/andergrove_community_centre,,,
,,-21.1449704,148.9435589,QLD,community_centre,,,,,,,,,,,
,Banksia Scouts Den,-21.0863332,149.183443,QLD,community_centre,,,,,,,,,,,
,Mundaring Weir Hall,-31.9517785,116.1676804,WA,community_centre,,,,,,,,,,,
,,-26.6387233,149.9841027,QLD,community_centre,,,,,,,,,,,
,Andergrove Neighbourhood Centre,-21.0911303,149.1816672,QLD,community_centre,,,,Bedford Road,Andergrove,4740,,https://www.mackay.qld.gov.au/facilities/spaces/community_halls/andergrove_neighbourhood_centre,,,
,Dardanup-Capel Home & Community Care,-33.3215106,115.7153304,WA,community_centre,,,,,,,,,,,
,Flannery Centre,-33.4371698,149.5642432,NSW,community_centre,,,,,,,,,,,
,EPIC,-23.3583155,119.7395153,WA,community_centre,,,,Kalgan Drive,,6753,,,,,
,The Wheelchair Factory,-35.3524775,149.0595844,ACT,social_facility,,,,,,,,https://www.scootersaus.com.au/,,,
,Pioneer War Memorial Hall,-21.1593738,149.0630867,QLD,community_centre,,,,,,,,,,,
,,-38.246535,145.0488773,VIC,community_centre,,,,,,,,,,,
